@dataValueAttribs							
precip	0	9999	mm				
@dataSetAttribs							
missingDataVal	-9999						
dataStart	01.01.1987 00:00						
dataEnd	31.12.1990 00:00						
tres	d						
@statAttribVal							
name	Station 1	Station 2	Station 3	Station 4	Station 5	Station 6 	Station 7
09.10.1987 00:00	10.65032631	12.8346615	10.57978967	1.138271905	1.304359186	2.941683368	1.65E-04
10.10.1987 00:00	0	0	0	0	0	0	0
11.10.1987 00:00	0	0	0	0	0	0	0
12.10.1987 00:00	0	0	0	0	0	0	0
13.10.1987 00:00	0	0	0	0	0	0	0
14.10.1987 00:00	0	0	0	0	0	0	0
15.10.1987 00:00	0	0	0	0	0	0	0
16.10.1987 00:00	0	0	0	0	0	0	0
17.10.1987 00:00	0	0	0	0	0	0	0
18.10.1987 00:00	1.993233147	2.2778435	2.08274978	0.703854965	2.55273252	1.342670103	4.65E-04
19.10.1987 00:00	40.1827392	46.62020214	41.459044	27.89630958	28.25384275	21.51568437	9.655935095
20.10.1987 00:00	50.83677733	37.72783615	55.97838741	66.46291644	97.31813738	129.134305	154.0581797
21.10.1987 00:00	0	0	0	0	0	0	0
22.10.1987 00:00	0	0	0	0	0	0	0
23.10.1987 00:00	0	0	0	0	0	0	0
24.10.1987 00:00	0	0	0	0	0	0	0
25.10.1987 00:00	0.114629151	0.005021323	0.140971747	0.238591485	0.937325343	0.275607495	1.73E-04
26.10.1987 00:00	0.49586896	0.017693142	0.390599103	1.841018702	0.601628764	0	0
27.10.1987 00:00	0.487338576	0.021090676	0.586087404	1.297509464	2.781866855	0.755902241	4.07E-04
28.10.1987 00:00	0	0	0	0	0	0	0
29.10.1987 00:00	0	0	0	0	0	0	0
30.10.1987 00:00	0	0	0	0	0	0	0
31.10.1987 00:00	0	0	0	0	0	0	0
01.11.1987 00:00	0	0	0	0	0	0	0
02.11.1987 00:00	0	0	0	0	0	0	0
03.11.1987 00:00	0	0	0	0	0	0	0
04.11.1987 00:00	0	0	0	0	0	0	0
05.11.1987 00:00	0	0	0	0	0	0	0
06.11.1987 00:00	0	0	0	0	0	0	0
07.11.1987 00:00	0	0	0	0	0	0	0
08.11.1987 00:00	0	0	0	0	0	0	0
09.11.1987 00:00	0	0	0	0	0	0	0
10.11.1987 00:00	0	0	0	0	0	0	0
11.11.1987 00:00	0	0	0	0	0	0	0
12.11.1987 00:00	0	0	0	0	0	0	0
13.11.1987 00:00	0	0	0	0	0	0	0
14.11.1987 00:00	0	0	0	0	0	0	0
15.11.1987 00:00	0	0	0	0	0	0	0
16.11.1987 00:00	0	0	0	0	0	0	0
17.11.1987 00:00	0	0	0	0	0	0	0
18.11.1987 00:00	0	0	0	0	0	0	0
19.11.1987 00:00	0	0	0	0	0	0	0
20.11.1987 00:00	0	0	0	0	0	0	0
21.11.1987 00:00	0	0	0	0	0	0	0
22.11.1987 00:00	0	0	0	0	0	0	0
23.11.1987 00:00	0	0	0	0	0	0	0
24.11.1987 00:00	0	0	0	0	0	0	0
25.11.1987 00:00	0	0	0	0	0	0	0
